ID_1,left,top,right,bottom,x,y,반경 150m 내 자전거 도로 유무,공원과의 최소 거리
41,965520.8765,1867640.617,965620.8765,1867540.617,127.1140318,36.80586018,1,75.05818642
83,965420.8765,1868340.617,965520.8765,1868240.617,127.112879,36.8121667,1,43.26265457
429,964720.8765,1868140.617,964820.8765,1868040.617,127.1050404,36.81033799,1,186.3734702
