ID_1,left,top,right,bottom,x,y,학교학원,poi,주택거주인구
243,964420.8765,1868740.617,964520.8765,1868640.617,127.1016491,36.81573547,1,0,428
245,964420.8765,1868140.617,964520.8765,1868040.617,127.1016771,36.81032677,0,28,51
246,964420.8765,1868240.617,964520.8765,1868140.617,127.1016724,36.81122822,1,18,80
247,964420.8765,1868340.617,964520.8765,1868240.617,127.1016678,36.81212967,1,6,72
252,964520.8765,1867740.617,964620.8765,1867640.617,127.1028168,36.80672472,0,0,163
253,964520.8765,1867840.617,964620.8765,1867740.617,127.1028122,36.80762617,0,0,266
254,964520.8765,1867940.617,964620.8765,1867840.617,127.1028075,36.80852762,1,2,151
259,964520.8765,1867640.617,964620.8765,1867540.617,127.1028215,36.80582327,0,0,73
266,964520.8765,1869340.617,964620.8765,1869240.617,127.1027423,36.82114791,2,0,587
267,964520.8765,1869440.617,964620.8765,1869340.617,127.1027376,36.82204936,0,1,250
268,964520.8765,1869540.617,964620.8765,1869440.617,127.102733,36.82295081,0,5,435
269,964520.8765,1869640.617,964620.8765,1869540.617,127.1027283,36.82385226,0,1,210
270,964520.8765,1868940.617,964620.8765,1868840.617,127.1027609,36.81754212,0,0,364
272,964520.8765,1869140.617,964620.8765,1869040.617,127.1027516,36.81934502,1,5,400
273,964520.8765,1869240.617,964620.8765,1869140.617,127.102747,36.82024646,3,0,587
275,964520.8765,1868640.617,964620.8765,1868540.617,127.1027749,36.81483777,5,6,416
276,964520.8765,1868740.617,964620.8765,1868640.617,127.1027703,36.81573922,4,8,859
277,964520.8765,1868840.617,964620.8765,1868740.617,127.1027656,36.81664067,2,7,404
278,964520.8765,1868140.617,964620.8765,1868040.617,127.1027982,36.81033052,1,43,73
279,964520.8765,1868240.617,964620.8765,1868140.617,127.1027935,36.81123197,1,28,40
280,964520.8765,1868340.617,964620.8765,1868240.617,127.1027889,36.81213342,0,1,28
281,964520.8765,1868440.617,964620.8765,1868340.617,127.1027842,36.81303487,1,0,9
284,964220.8765,1866440.617,964320.8765,1866340.617,127.0995147,36.79499458,0,10,778
285,964220.8765,1866540.617,964320.8765,1866440.617,127.09951,36.79589603,0,18,596
290,964320.8765,1868740.617,964420.8765,1868640.617,127.1005279,36.81573171,0,1,205
291,964320.8765,1868840.617,964420.8765,1868740.617,127.1005232,36.81663316,0,3,506
302,964220.8765,1867040.617,964320.8765,1866940.617,127.0994866,36.80040329,3,2,620
306,964220.8765,1866640.617,964320.8765,1866540.617,127.0995053,36.79679748,0,10,884
307,964220.8765,1866740.617,964320.8765,1866640.617,127.0995007,36.79769893,0,1,1215
308,964220.8765,1866840.617,964320.8765,1866740.617,127.099496,36.79860038,1,3,788
309,964220.8765,1866940.617,964320.8765,1866840.617,127.0994913,36.79950183,4,5,662
310,964320.8765,1866740.617,964420.8765,1866640.617,127.1006216,36.7977027,0,11,408
313,964320.8765,1867040.617,964420.8765,1866940.617,127.1006075,36.80040706,1,9,653
315,964320.8765,1866440.617,964420.8765,1866340.617,127.1006356,36.79499834,0,1,560
316,964320.8765,1866540.617,964420.8765,1866440.617,127.1006309,36.7958998,0,11,494
317,964320.8765,1866640.617,964420.8765,1866540.617,127.1006262,36.79680125,0,9,504
322,964420.8765,1869240.617,964520.8765,1869140.617,127.1016257,36.82024271,2,0,233
328,964320.8765,1868540.617,964420.8765,1868440.617,127.1005373,36.81392881,0,0,15
329,964320.8765,1868640.617,964420.8765,1868540.617,127.1005326,36.81483026,0,0,250
343,964820.8765,1869340.617,964920.8765,1869240.617,127.1061061,36.8211591,0,0,356
344,964820.8765,1869440.617,964920.8765,1869340.617,127.1061014,36.82206055,3,5,737
346,964820.8765,1868840.617,964920.8765,1868740.617,127.1061292,36.81665186,9,9,346
347,964820.8765,1868940.617,964920.8765,1868840.617,127.1061245,36.81755331,5,2,156
348,964820.8765,1869040.617,964920.8765,1868940.617,127.1061199,36.81845476,2,3,763
350,964820.8765,1868440.617,964920.8765,1868340.617,127.1061476,36.81304606,1,15,544
351,964820.8765,1868540.617,964920.8765,1868440.617,127.106143,36.81394751,0,18,349
352,964820.8765,1868640.617,964920.8765,1868540.617,127.1061384,36.81484896,0,24,349
353,964820.8765,1868740.617,964920.8765,1868640.617,127.1061338,36.81575041,2,18,373
354,964820.8765,1868040.617,964920.8765,1867940.617,127.1061661,36.80944026,0,12,33
355,964820.8765,1868140.617,964920.8765,1868040.617,127.1061615,36.81034171,1,34,79
356,964820.8765,1868240.617,964920.8765,1868140.617,127.1061569,36.81124316,2,29,217
357,964820.8765,1868340.617,964920.8765,1868240.617,127.1061522,36.81214461,2,19,818
361,964720.8765,1867440.617,964820.8765,1867340.617,127.1050728,36.80402783,0,9,327
365,964820.8765,1869640.617,964920.8765,1869540.617,127.1060922,36.82386345,0,0,355
366,964920.8765,1869340.617,965020.8765,1869240.617,127.1072273,36.82116281,4,8,535
367,964920.8765,1869440.617,965020.8765,1869340.617,127.1072227,36.82206426,6,24,724
368,964920.8765,1869540.617,965020.8765,1869440.617,127.1072181,36.82296571,4,19,352
